id,source,category,features,maxloop
ap01,testcase/probmems_ground_truth/gt06_fixed_loop_array.c,array,fixed_loop_read_write,5
ap04,testcase/probmems_ground_truth/gt22_array_fixed_five_loop.c,array,five_iteration_loop,5
ap06,testcase/probmems_ground_truth/gt27_two_array_dot.c,array,two_array_dot_product,4
ap10,testcase/probmems_ground_truth/gt31_pointer_fixed_five_loop.c,pointer,five_iteration_loop,5
ap13,testcase/probmems_ground_truth/gt35_pointer_loop_branch.c,pointer,loop_branch,5
ap15,testcase/probmems_ground_truth/gt38_array_pointer_copy.c,mixed,array_pointer_copy,4
